id;segmentId;templateId;storeId;name;description;badge;type;status;isDefault;createdAt;createdBy;updatedAt;updatedBy
1;1;1;IWKESVR022;Campanha Saepe WGN5;Excepturi earum quas quos tempora suscipit beatae iste quas fugit laboriosam laudantium.;winback;2;4;False;2024-03-09 11:20:33;uda-costa;2024-08-23 11:20:33;luiz-henrique58
2;2;2;GZSR8RUW2X;Campanha Voluptatem H6QI;Officia a facilis saepe iste illo nobis.;loyalty;2;4;False;2024-07-31 07:01:33;roliveira;2025-03-25 07:01:33;lcardoso
3;3;3;F4JD1KSIBS;Campanha Itaque MQPN;Blanditiis ipsam qui odit quas minus rerum praesentium ex cupiditate ipsa.;;2;3;True;2024-06-06 05:15:59;maria-luizaoliveira;2025-03-25 05:15:59;fmoraes
4;4;4;GIXMC4SX27;Campanha Voluptate DCBH;Atque molestiae laboriosam omnis consectetur ab aliquam optio magni.;loyalty;2;3;True;2024-06-08 06:33:14;joao-guilherme42;2024-06-20 06:33:14;yrezende
5;5;5;GVE4ZTJ1KM;Campanha Eum 9831;Ipsa nostrum odit eum recusandae sapiente dignissimos quisquam.;migration;2;2;False;2024-05-08 08:06:44;gustavo-henriquesouza;2024-09-25 08:06:44;diogoda-conceicao
6;6;6;I0RS210Q2L;Campanha Tempore G1ZH;Quo repellendus id laboriosam explicabo illo ratione.;;1;3;False;2024-06-14 03:36:59;marianapeixoto;2024-10-08 03:36:59;oda-conceicao
7;7;7;5L0RXMIP11;Campanha Libero YKVU;Quos veritatis corporis laboriosam unde quasi accusantium soluta adipisci nobis dolore.;migration;1;2;False;2024-03-05 17:42:30;joao-guilherme18;2024-12-25 17:42:30;dalmeida
8;8;8;WVV59HOTGD;Campanha Minus UQ6D;;migration;1;1;True;2024-05-19 00:45:23;santosana-julia;2025-03-05 00:45:23;da-pazcaio
9;9;9;AH6NHKSQNA;Campanha Eius L6O9;Fugiat eos ipsam fugit non voluptates ut.;loyalty;2;4;False;2024-10-05 08:46:22;ferreiraluiz-fernando;2025-06-12 08:46:22;barrosmaria-alice
10;5;10;O6H5L3XFUL;Campanha Quae HZQH;Quidem temporibus eius explicabo nesciunt eligendi sunt quod voluptatum iure cum omnis.;loyalty;2;1;False;2024-10-26 09:11:28;novaesdavi;2024-11-30 09:11:28;lucca64
