id;companyId;containerId;createdAt;customer;customerAge;customerRegion;voucher;idVoucher;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version
1;I0VP1DZXGU;AKVXT2FH;08/01/2025 15:47;525;32;SUL;FALSO;;O8CC98;E3R037;DirectOrder;POS;Adipisci maiores nam eius vero nesciunt sed.;VERDADEIRO;2452;FALSO;IMMEDIATE;DELIVERY;ANOTAAI;;DISPATCHED;45;2131;90.91;09/01/2025 3:32;v3.7.8
2;04MEUULZ6W;KKMY5TG5;03/11/2024 22:30;694;27;CENTRO OESTE;FALSO;;HJ99VA;EJVOBV;DirectOrder;APP;;FALSO;4688;VERDADEIRO;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;33;374;99.69;04/11/2024 3:05;v2.3.0
3;W2ZZS7CCZW;I87JLGTV;09/09/2024 5:49;491;27;SUDESTE;FALSO;;XJJDH2;UDX1ZF;KDSPro;POS;;FALSO;8501;FALSO;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;22;247;45.97;09/09/2024 9:32;v1.9.5
4;SQ5MBL8L24;W3ZXOQHO;22/05/2025 6:22;846;27;SUL;FALSO;;J8QDM3;30FLOC;KDSPro;WEB;Autem mollitia voluptas quasi.;VERDADEIRO;3560;FALSO;SCHEDULED;TAKEOUT;99FOOD;22/05/2025 14:22;CANCELED;35;1766;104.31;22/05/2025 21:39;v2.8.5
5;0RCNJ6BRJD;NA0C0FOS;22/02/2025 1:23;77;25;SUL;FALSO;;H4LV73;QI3URN;KDSPro;POS;;VERDADEIRO;3196;FALSO;SCHEDULED;DELIVERY;99FOOD;24/02/2025 11:23;DISPATCHED;20;1219;105.5;22/02/2025 13:53;v2.1.3
6;XF32XPMU6N;NGNJYJIK;17/12/2024 14:54;463;37;CENTRO OESTE;VERDADEIRO;NovoCanolli;WS9UVN;MIXWGY;KDSPro;APP;;VERDADEIRO;1550;FALSO;SCHEDULED;INDOOR;99FOOD;18/12/2024 7:54;CONFIRMED;68;1689;51.42;18/12/2024 9:12;v2.8.3
7;0Q15FQJIT6;F5Q4MYIX;17/05/2025 16:51;625;18;CENTRO OESTE;FALSO;;XJA3WX;6ILJ42;CannoliEngine;POS;;FALSO;5252;FALSO;SCHEDULED;TAKEOUT;SITE;18/05/2025 1:51;PENDING;43;2922;110.33;18/05/2025 12:12;v2.8.8
8;O547GFPQEQ;QR7D6E5F;02/06/2025 15:22;395;21;CENTRO OESTE;VERDADEIRO;NovoCanolli;0H74IS;RCAXHC;CannoliEngine;APP;Consectetur dolorem vitae reiciendis.;VERDADEIRO;7965;FALSO;SCHEDULED;INDOOR;SITE;05/06/2025 13:22;CANCELED;20;1797;21.41;03/06/2025 6:56;v1.4.6
9;5O7CELUWGJ;O97PBYD4;11/06/2025 2:18;633;38;SUL;VERDADEIRO;NovoCanolli;DJXMVM;TYGLFS;CannoliEngine;WEB;;FALSO;4098;FALSO;IMMEDIATE;INDOOR;SITE;;PENDING;33;3243;28.36;11/06/2025 18:50;v2.3.4
10;33DC5SGGCE;UDDVA3PQ;16/12/2024 9:27;350;23;NORTE;FALSO;;PYH5H2;O5LTG6;IfoodBridge;APP;;FALSO;6282;FALSO;SCHEDULED;DELIVERY;SITE;17/12/2024 22:27;PLACED;51;1062;48.1;17/12/2024 1:56;v1.2.1
